StandardizedNames,Source,SourceNames
Limosilactobacillus reuteri,Zimmermann,Lactobacillus  reuteri CF48-3A
Marvinbryantia formatexigens,Alice_hCOMs-updated,Marvinbryantia-formatexigens-DSM-14469
Marvinbryantia formatexigens,Zimmermann,Bryantia formataxigens
Megasphaera sp.,Alice_hCOMs-common,Megasphaera-DSMZ-102144
Mitsuokella multacida,Alice_hCOMs-updated,Mitsuokella-multacida-DSM-20544
Odoribacter splanchnicus,Alice_hCOMs-new,Odoribacter-splanchnicus-DSM-220712
Odoribacter splanchnicus,Maier,Odoribacter splanchnicus
Odoribacter splanchnicus,Zimmermann,Odoribacter splanchnius
Olsenella uli,Alice_hCOMs-common,Olsenella-uli-DSM-7084
Oscillibacter sp.,Alice_hCOMs-new,Oscillibacter-sp-KLE-1728
Parabacteroides distasonis,Alice_hCOMs-common,Parabacteroides-distasonis-ATCC-8503
Parabacteroides distasonis,Maier,Parabacteroides distasonis
Parabacteroides distasonis,Zimmermann,Parabacteroides distasonis
Parabacteroides johnsonii,Alice_hCOMs-updated,Parabacteroides-johnsonii-DSM-18315
Parabacteroides johnsonii,Zimmermann,Parabacteroides johnsonii
Parabacteroides merdae,Alice_hCOMs-updated,Parabacteroides-merdae-ATCC-43184
Parabacteroides merdae,Maier,Parabacteroides merdae
Parabacteroides merdae,Zimmermann,Parabacteroides merdae
Parabacteroides sp.,Alice_hCOMs-updated,Parabacteroides-sp-D13
Phocaeicola coprocola,Alice_hCOMs-common,Bacteroides-coprocola-DSM-17136
Phocaeicola coprophilus,Alice_hCOMs-updated,Bacteroides-coprophilus-DSM-18228
Phocaeicola coprophilus,Zimmermann,Bacteroides coprophilus
Phocaeicola dorei,Alice_hCOMs-updated,Bacteroides-dorei-5-1-36-D4
Phocaeicola dorei,Alice_hCOMs-updated,Bacteroides-dorei-DSM-17855
Phocaeicola dorei,Zimmermann,Bacteroides dorei
